model,accuracy,precision,recall,f1,AUC
Logistic Regression,0.9228650137741047,0.9170731707317074,0.8826291079812206,0.8995215311004785,0.9640168815810903
"Random Forest, tuned",0.921028466483012,0.9358974358974359,0.8568075117370892,0.8946078431372549,0.9581961350809735
Decision Tree,0.8943985307621671,0.9168900804289544,0.8028169014084507,0.8560700876095119,0.9058448225805308
