algorithm,k,inertia,silhouette,calinski_harabasz,ARI_vs_Target,ARI_vs_Wilderness
MiniBatchKMeans,2,55308.02734375,0.1910887062549591,1340.066162109375,0.0025953068322597094,0.03907533123495989
Agglomerative Ward,2,,0.15261943638324738,406.142578125,0.003525888325615451,0.012804948417091663
