model,Cover_Type,Cover_Type_Name,support,precision,recall,f1
Random Forest,1,Spruce/Fir,13126,0.9187435714850859,0.8846564071308852,0.9013778381525326
Random Forest,2,Lodgepole Pine,17554,0.9066577822200012,0.9301583684630284,0.9182577397857324
Random Forest,3,Ponderosa Pine,2215,0.8518518518518519,0.9241534988713318,0.8865309657860545
Random Forest,4,Cottonwood/Willow,170,0.7821229050279329,0.8235294117647058,0.8022922636103151
Random Forest,5,Aspen,588,0.791578947368421,0.6394557823129252,0.707431796801505
Random Forest,6,Douglas-fir,1076,0.796384395813511,0.7778810408921933,0.7870239774330042
Random Forest,7,Krummholz,1271,0.9204180064308681,0.9008654602675059,0.9105367793240557
