model,multiclass_brier,expected_calibration_error,mean_confidence,observed_accuracy
HistGradientBoosting,0.19363387915248742,0.04674363699801242,0.8220217886307974,0.8685833333333334
Logistic Regression,0.5455922770758136,0.06606205529057316,0.6548367665948139,0.5926944444444444
Decision Tree,0.3239021143279864,0.10431261370034108,0.8797848359225634,0.7754722222222222
Random Forest,0.17752032551853725,0.1276607943209705,0.774768620477183,0.9023611111111111
