k,inertia,silhouette
2,403391.12690375093,0.11111841919684048
3,387653.5199044844,0.0938038131185829
4,370607.03988116974,0.10728099435442963
5,359409.96323352354,0.09323446014699453
6,349513.5427132511,0.09832384346054397
7,342440.08739543695,0.03809971932612981
8,337791.10105969,0.03770715679459648
