model,accuracy,precision,recall,f1,AUC,AUC_delta_vs_baseline
Logistic Regression + SMOTE,0.9118457300275482,0.875,0.903755868544601,0.8891454965357968,0.9630538383645261,-0.0009630432165642633
Decision Tree + SMOTE,0.8815426997245179,0.8595641646489104,0.8333333333333334,0.8462455303933254,0.9256686423215006,0.019823819740969806
