sensitive_feature,group_value,n,observed_dropout_rate,observed_dropout_rate_ci_low,observed_dropout_rate_ci_high,mean_predicted_risk,calibration_gap_pred_minus_observed,brier_score
Gender,0,669,0.2974588938714499,0.2640538324898495,0.3331767786970926,0.3172092249315077,0.019750331060057802,0.05454992756530866
Gender,1,420,0.5404761904761904,0.492662236605149,0.587556411116075,0.5712792533879749,0.030803062911784473,0.06401697868913182
International,0,1062,0.3888888888888889,0.36001932981225593,0.4185594008359005,0.41444878772308763,0.025559898834198735,0.05852411214735787
International,1,27,0.48148148148148145,0.3074295064970908,0.6601467541378958,0.4446535311188545,-0.03682795036262698,0.045497240375288656
Scholarship holder,0,822,0.4744525547445255,0.44051390017306447,0.5086288894369526,0.49198594323850803,0.017533388493982505,0.06464623774048545
Scholarship holder,1,267,0.1348314606741573,0.0990059741506179,0.18101600179399324,0.17879330546844388,0.04396184479428658,0.03835889576010417
