model,brier_score,expected_calibration_error,max_calibration_error,mean_predicted_risk,observed_dropout_rate,AUC,calibration_method
"Logistic Regression, uncalibrated",0.05820113185548839,0.03120297040149481,0.22344992326913954,0.4151976656585199,0.39118457300275483,0.9640168815810903,none
"Logistic Regression, Platt",0.058570101561322745,0.04202240888615601,0.20222424571538838,0.4135315261220906,0.39118457300275483,0.9641903709840742,sigmoid
"Logistic Regression, isotonic",0.05698321874626015,0.03262154960790948,0.25265477727947405,0.4158553755897475,0.39118457300275483,0.9645249576898293,isotonic
"Decision Tree, uncalibrated",0.08908668208503068,0.02497930444919436,0.15000000000000002,0.39980165602828394,0.39118457300275483,0.9058448225805308,none
"Decision Tree, Platt",0.07887513913746429,0.05585049290992683,0.1879594385281726,0.4020556093152676,0.39118457300275483,0.948199250809027,sigmoid
"Decision Tree, isotonic",0.07672321448501626,0.046198147931428804,0.41222133842767555,0.40438390820041514,0.39118457300275483,0.946582966881227,isotonic
