mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_rf__max_depth,param_rf__min_samples_leaf,param_rf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.5852435111999512,0.055641155455370135,0.14580945968627929,0.01738000729473781,,1,100,"{'rf__max_depth': None, 'rf__min_samples_leaf': 1, 'rf__n_estimators': 100}",0.9340006484033069,0.9417475728155339,0.954237205444699,0.9333967572490284,0.9456261891984193,0.9418016746221974,0.007755912734220548,8
1.4729033946990966,0.0888944163894108,0.19840607643127442,0.01017024188032121,,1,300,"{'rf__max_depth': None, 'rf__min_samples_leaf': 1, 'rf__n_estimators': 300}",0.9360512238612417,0.9427233253646875,0.9589939991218227,0.9350392740401035,0.9486103657445805,0.9442836376264871,0.008840597043244667,1
0.5718419551849365,0.035580375394004195,0.14644017219543456,0.01282701556407351,,5,100,"{'rf__max_depth': None, 'rf__min_samples_leaf': 5, 'rf__n_estimators': 100}",0.9319824931107148,0.9395033419524809,0.9604494966743101,0.9331121627555252,0.9503667203330569,0.9430828429652177,0.010863706446676051,3
1.381583833694458,0.06587472317830642,0.19079294204711914,0.013805654178469387,,5,300,"{'rf__max_depth': None, 'rf__min_samples_leaf': 5, 'rf__n_estimators': 300}",0.930377694926244,0.9419427233253647,0.9596688946349874,0.9331121627555252,0.9499764193133954,0.9430155789911032,0.010814166689844626,4
0.5105878353118897,0.02371765274110144,0.12590556144714354,0.007836921501471802,5,1,100,"{'rf__max_depth': 5, 'rf__min_samples_leaf': 1, 'rf__n_estimators': 100}",0.9180094018479495,0.9318599469841115,0.9559935600331755,0.9252573547348392,0.9407880828088663,0.9343816692817883,0.013158869984563474,11
1.1845194339752196,0.030945993844703937,0.19805827140808105,0.012897937793414277,5,1,300,"{'rf__max_depth': 5, 'rf__min_samples_leaf': 1, 'rf__n_estimators': 300}",0.9168098557302641,0.9327869119058073,0.9552942707062821,0.9254687677871559,0.9430648387568913,0.9346849289772802,0.013438944853591366,9
0.49711174964904786,0.026751063807311813,0.1192237377166748,0.006542454989014243,5,5,100,"{'rf__max_depth': 5, 'rf__min_samples_leaf': 5, 'rf__n_estimators': 100}",0.919030637056249,0.928916426794165,0.9541884178172415,0.9247044282903188,0.9416174724756469,0.9336914764867241,0.012660603176627773,12
1.159293794631958,0.03188197129315746,0.1895814895629883,0.013495711571875428,5,5,300,"{'rf__max_depth': 5, 'rf__min_samples_leaf': 5, 'rf__n_estimators': 300}",0.9184308639974066,0.9316160088468229,0.9541558927322699,0.9256313932120148,0.9427558504496593,0.9345180018476347,0.012646725177834703,10
0.5283276081085205,0.01545320282994495,0.13487672805786133,0.013000532384764606,10,1,100,"{'rf__max_depth': 10, 'rf__min_samples_leaf': 1, 'rf__n_estimators': 100}",0.9332468795590857,0.9383812265209542,0.956985575124815,0.9318599469841116,0.9528386267909126,0.9426624509959758,0.010318744109964539,5
1.3074630737304687,0.0260150291775568,0.15897688865661622,0.01620214881020708,10,1,300,"{'rf__max_depth': 10, 'rf__min_samples_leaf': 1, 'rf__n_estimators': 300}",0.9343167450153996,0.9390805158478476,0.9589045551381503,0.933746401912475,0.9525784261111382,0.9437253288050022,0.010182936337267114,2
0.5365713119506836,0.017639221620468076,0.12627062797546387,0.008030471299266014,10,5,100,"{'rf__max_depth': 10, 'rf__min_samples_leaf': 5, 'rf__n_estimators': 100}",0.931139568811801,0.9393732416125938,0.9581239530988275,0.9340228651347351,0.9486591533720381,0.9422637564059991,0.009924332278143702,7
0.9271965503692627,0.11013642433879445,0.09132719039916992,0.013180970986497285,10,5,300,"{'rf__max_depth': 10, 'rf__min_samples_leaf': 5, 'rf__n_estimators': 300}",0.9318690225320149,0.9396822299198258,0.9587256671708055,0.9317135841017384,0.9506269210128312,0.9425234849474432,0.010645380600547587,6
