scenario,n_eligible,baseline_mean_risk_eligible,scenario_mean_risk_eligible,mean_delta_risk,median_delta_risk,q25_delta_risk,q75_delta_risk,pct_with_lower_risk
Set unpaid tuition to up-to-date,154,0.9410342350628722,0.8191529541084617,-0.12188128095441088,-0.014631120704149847,-0.20069878870470131,-0.0016669232386340715,1.0
Increase 2nd-sem approved units by +1,1089,0.4151976656585199,0.35957678438217355,-0.055620881276346304,-0.028761779293496294,-0.07971320640978752,-0.007578965293959178,1.0
Increase 2nd-sem approved units by +3,1089,0.4151976656585199,0.2768811810407613,-0.13831648461775847,-0.061661005093254215,-0.19011097265519633,-0.020459992240064007,1.0
Tuition up-to-date and approved units +3,1089,0.4151976656585199,0.24906145678158514,-0.16613620887693467,-0.06727351271433739,-0.2188002929680938,-0.026951700495571707,1.0
