sensitive_feature,group_value,n,positives_dropout,negatives_graduate,recall,recall_ci_low,recall_ci_high,FPR,FPR_ci_low,FPR_ci_high,precision,observed_dropout_rate,observed_dropout_rate_ci_low,observed_dropout_rate_ci_high,mean_predicted_risk,calibration_gap_pred_minus_observed,brier_score,tp,fp,fn,tn
Gender,0,669,199,470,0.8492462311557789,0.7929484536145112,0.892315318708326,0.029787234042553193,0.017824916003106036,0.04937391162199063,0.9234972677595629,0.2974588938714499,0.2640538324898495,0.3331767786970926,0.3172092249315077,0.019750331060057802,0.05454992756530866,169,14,30,456
Gender,1,420,227,193,0.9118942731277533,0.8678370526325009,0.9422422398347147,0.10362694300518134,0.06808828658060263,0.15463699100299755,0.9118942731277533,0.5404761904761904,0.492662236605149,0.587556411116075,0.5712792533879749,0.030803062911784473,0.06401697868913182,207,20,20,173
International,0,1062,413,649,0.8837772397094431,0.8492705643558465,0.9112101554187633,0.05238828967642527,0.03772879684082426,0.0723156611103847,0.9147869674185464,0.3888888888888889,0.36001932981225593,0.4185594008359005,0.41444878772308763,0.025559898834198735,0.05852411214735787,365,34,48,615
International,1,27,13,14,0.8461538461538461,0.5776482949136899,0.9567427368172621,0.0,0.0,0.21531701192718142,1.0,0.48148148148148145,0.3074295064970908,0.6601467541378958,0.4446535311188545,-0.03682795036262698,0.045497240375288656,11,0,2,14
Scholarship holder,0,822,390,432,0.8871794871794871,0.8519294185877484,0.914876322603634,0.06481481481481481,0.04522037511052858,0.09208088296121124,0.9251336898395722,0.4744525547445255,0.44051390017306447,0.5086288894369526,0.49198594323850803,0.017533388493982505,0.06464623774048545,346,28,44,404
Scholarship holder,1,267,36,231,0.8333333333333334,0.6810888526532568,0.9212965937143589,0.025974025974025976,0.01195713815715814,0.05549939424595955,0.8333333333333334,0.1348314606741573,0.0990059741506179,0.18101600179399324,0.17879330546844388,0.04396184479428658,0.03835889576010417,30,6,6,225
