sensitive_feature,group_value,n,recall_bootstrap_mean,recall_ci_low,recall_ci_high,FPR_bootstrap_mean,FPR_ci_low,FPR_ci_high
Gender,0,669,0.8493173948815667,0.7980769230769231,0.8955223880597015,0.02924839812179264,0.014799154334038054,0.04573804573804574
Gender,1,420,0.9129558829472765,0.8744755278777854,0.9483688175565018,0.1040684235685851,0.06450750388131792,0.14595891345891346
International,0,1062,0.8829307140550157,0.8528586346633416,0.9133663366336634,0.05222463691583489,0.0359375,0.06938684702322684
International,1,27,0.8480778867288543,0.6150000000000001,1.0,0.0,0.0,0.0
Scholarship holder,0,822,0.8871393827530634,0.8553599850502942,0.9170734771418066,0.06429579293751206,0.04176321358455929,0.08735851244781197
Scholarship holder,1,267,0.8326471953270267,0.7036786786786787,0.9473684210526315,0.026302281671598076,0.008368200836820083,0.0488998505231689
